id,short_code,name,type,description_main,description_only_numbers1151M390060,part_number_distributor_orbital_fasteners,webpage_distributor_orbital_fasteners,part_number_manufacturer_metalmate,webpage_manufacturer_metalmate,price_current,name_manufacturer_metalmate
household_toy_animal_to_sort,,Household Toy Animal To Sort,animal,to_sort,,,,,,,
household_toy_ball_to_sort,,Household Toy Ball To Sort,ball,to_sort,,,,,,,
household_toy_building_to_sort,,Household Toy Building To Sort,building,to_sort,,,,,,,
household_toy_craft_to_sort,,Household Toy Craft To Sort,craft,to_sort,,,,,,,
household_toy_dinosaur_to_sort,,Household Toy Dinosaur To Sort,dinosaur,to_sort,,,,,,,
household_toy_doll_baby_to_sort,,Household Toy Doll Baby To Sort,doll_baby,to_sort,,,,,,,
household_toy_doll_barbie_to_sort,,Household Toy Doll Barbie To Sort,doll_barbie,to_sort,,,,,,,
household_toy_doll_sylvanian_family_to_sort,,Household Toy Doll Sylvanian Family To Sort,doll_sylvanian_family,to_sort,,,,,,,
household_toy_doll_to_sort,,Household Toy Doll To Sort,doll,to_sort,,,,,,,
household_toy_fidget_to_sort,,Household Toy Fidget To Sort,fidget,to_sort,,,,,,,
household_toy_game_to_sort,,Household Toy Game To Sort,game,to_sort,,,,,,,
household_toy_pretend_job_to_sort,,Household Toy Pretend Job To Sort,pretend_job,to_sort,,,,,,,
household_toy_pretend_kitchen_dish_to_sort,,Household Toy Pretend Kitchen Dish To Sort,pretend_kitchen_dish,to_sort,,,,,,,
household_toy_pretend_kitchen_food_to_sort,,Household Toy Pretend Kitchen Food To Sort,pretend_kitchen_food,to_sort,,,,,,,
household_toy_pretend_kitchen_to_sort,,Household Toy Pretend Kitchen To Sort,pretend_kitchen,to_sort,,,,,,,
household_toy_pretend_kitchen_utensil_to_sort,,Household Toy Pretend Kitchen Utensil To Sort,pretend_kitchen_utensil,to_sort,,,,,,,
household_toy_pretend_pet_to_sort,,Household Toy Pretend Pet To Sort,pretend_pet,to_sort,,,,,,,
household_toy_pretend_to_sort,,Household Toy Pretend To Sort,pretend,to_sort,,,,,,,
household_toy_puzzle_to_sort,,Household Toy Puzzle To Sort,puzzle,to_sort,,,,,,,
household_toy_stuffie_to_sort,,Household Toy Stuffie To Sort,stuffie,to_sort,,,,,,,
